Name,SRR26129966,DRR513083
PNW88137,23.1061670018432,0.9950016840906143
PNW88473,94.60052587096071,28.94875948044503
PNW88472,9.922950258861839,442.4472425622031
PNW87795,244.87819219900865,238.96680681480564
PNW88753,566.3919325421625,667.9473823762463
PNW88088,10917.984847965472,1007.4306080116867
PNW88089,0.0,0.0
PNW88355,411.5016179790054,1147.0228731745983
PNW88615,176.048156360264,169.89005358940054
PNW88797,3.0077427050045147,3.988105404206069
PNW87988,7.039413412954758,49.69935254696789
PNW88264,2.0065984875096334,40.8487677092366
PNW88358,2094.9522545174245,190.8785995310356
PNW88267,138.86818631864656,271.18114703573775
PNW88508,364.24128562137923,901.5568904163532
PNW87754,0.0,0.0
PNW87753,23.017252390149594,40.953739941530344
PNW88442,3731.5973762050667,2649.4616035871745
PNW88889,2.009663673632347,349.2039517979473
