transcript_id,median_expression
PNW88969,4.07244
PNW87920,13.0492395
PNW88333,1.0341930000000001
PNW87881,0.721592
PNW87766,0.41934
PNW88785,32.876898
PNW88328,2.9383350000000004
PNW87788,0.0174335
PNW87789,0.2961815
PNW87872,0.0393665
PNW88452,150.4709765
PNW88463,5.0442635000000005
PNW88202,2.942264
PNW87797,2.07002
PNW88627,8.851726
PNW88790,1.9594114999999999
PNW88421,7.4081805
PNW88910,26.745257
PNW88911,0.0
PNW87975,2.2761165
PNW88243,18.360701499999998
PNW88459,34.372301
PNW88561,2.7897440000000002
PNW88752,14.497328499999998
PNW87911,0.0
PNW88395,8.138747500000001
PNW88660,4221.485941
PNW88661,5.9750375
PNW88437,5.759047
PNW88537,0.607424
PNW87912,2.113687
PNW88229,2.7499379999999998
PNW88691,0.473238
PNW87792,1.972091
PNW87791,0.5095045
PNW88417,22.1159055
PNW87738,1.7900809999999998
PNW88884,2.525076
PNW88885,39.998931000000006
PNW88274,1.5476775
PNW87786,52.860442500000005
PNW87849,17.665517
PNW88900,45.408354
PNW88748,304.09538599999996
PNW88440,13.286135999999999
PNW88053,1.4020425
PNW88054,9.7758975
PNW88368,1.6973005
PNW88037,0.563336
PNW88036,0.0
PNW88571,22.599313000000002
PNW88617,0.035495
PNW88618,0.8248645
PNW88619,0.0
PNW88775,6.191653
PNW88774,0.0
PNW88881,69.728437
PNW87968,1.2446570000000001
PNW87967,7.3942275
PNW88262,17.308937999999998
PNW88516,2.6752434999999997
PNW88517,0.0
PNW88987,0.6250045
PNW87813,0.0
PNW87812,0.1221875
PNW88418,2.6568715
PNW89040,0.4743675
PNW88207,0.603622
PNW87884,3.2190944999999997
PNW87858,0.199481
PNW87857,1.9071415
PNW87941,0.910201
PNW87942,14.176741
PNW87943,14.222439
PNW88291,0.44079
PNW89033,10.934845
PNW88731,0.32401
PNW87783,2.4770095
PNW89048,0.0742345
PNW87910,0.0
PNW88163,2.367577
PNW89061,1.0802019999999999
PNW87790,5.2955700000000006
PNW89086,0.0
PNW88990,0.219226
PNW88392,0.473695
PNW88393,0.4824845
PNW88672,11.6885015
PNW88872,11.2021065
PNW88883,0.5604429999999999
PNW88907,29.1283215
PNW88115,1.5780215000000002
PNW88320,2.8362445
PNW88008,0.0
PNW88007,0.606316
PNW88069,9.3459085
PNW87768,21.8404085
PNW88193,1.719732
PNW88424,39.2433245
PNW89052,0.31515350000000003
PNW88242,2.2625634999999997
PNW88185,1.3323435
PNW88849,2.3321445
PNW88735,3.3991315
PNW88912,0.478306
PNW88428,21.736439
PNW89095,23.073701
PNW88586,7.582437499999999
PNW89056,0.673439
PNW89055,0.0
PNW88114,3.583431
PNW88533,1.11115
PNW87867,0.0
PNW88307,0.9717425
PNW89083,2.5433125
PNW89073,2.3033015000000003
PNW89077,9.0261715
PNW89076,3.4278145
PNW89013,6.4650704999999995
PNW87801,0.0
PNW88955,214.508719
PNW88326,1.706787
PNW88968,7.9860895
PNW88457,0.1911505
PNW88506,8.1415615
PNW88551,3.485958
PNW87969,3.401213
PNW88580,0.298326
PNW88382,31.271697
PNW88212,0.0
PNW88213,2.323131
PNW87846,2.78307
PNW89023,4.3851675
PNW88203,56.756327
PNW89075,1.6792785000000001
PNW88536,81.990965
PNW89024,1.112899
PNW88997,1.7332755
PNW88224,0.08004649999999999
PNW88140,11.375424500000001
PNW88073,1.2431640000000002
PNW87877,0.1855
PNW88557,2.243837
PNW87888,0.3378305
PNW87949,1.5208295
PNW88741,0.0
PNW89006,5.207829
PNW88122,2.894879
PNW88310,24.277688
PNW88674,3.5892405000000003
PNW88153,1.821563
PNW88266,0.541644
PNW88717,1.191268
PNW88747,1.444711
PNW88171,2.307899
PNW87802,0.6323655
PNW88947,0.697017
PNW88605,5.0474325
PNW88107,2.789311
PNW87999,2.0622655
PNW88013,1.1905435
PNW89066,6.336209
PNW88332,7.5837924999999995
PNW88891,8.496914499999999
PNW88236,3.0277339999999997
PNW89005,9.4357555
PNW88315,1.1098299999999999
PNW87957,1.723266
PNW88582,3.183963
PNW88652,30.507309
PNW87963,2.03433
PNW88898,13.0509685
PNW87893,0.5506705
PNW88200,273.98303599999997
PNW88470,0.097478
PNW88831,0.0
PNW88141,2.549655
PNW87821,5.2931225
PNW88973,0.3451295
PNW88972,0.006804
PNW87879,2.1859715
PNW88502,762.2348555
PNW88305,5.0296935000000005
PNW88744,14.9877225
PNW87868,62.467014
PNW88488,0.063257
PNW88044,2.7453934999999996
PNW88102,4.336894
PNW88360,10.723167499999999
PNW88759,3.834049
PNW88058,15.681141
PNW88451,2.6610425
PNW89015,5.4106795000000005
PNW88047,0.0547685
PNW88762,13.108059
PNW88458,1.9534685
PNW87964,0.657285
PNW88009,0.2747065
PNW88909,1.034859
PNW88498,1.229195
PNW88810,0.2497895
PNW88926,36.237648
PNW88927,4.758878
PNW89041,0.21530549999999998
PNW88441,212.7273075
PNW88121,4.3040105
PNW88492,0.0
PNW88698,18.388312499999998
PNW89022,0.6089555
PNW87929,0.0784005
PNW88487,2.8861205
PNW88486,0.0
PNW88485,1.0653235
PNW88692,1.8575665000000001
PNW88019,9.692088
PNW88538,0.9219005
PNW88896,20.857522
PNW88297,7.4454139999999995
PNW88704,11.164
PNW88946,1.0339285
PNW88693,5.4767055
PNW88559,1.96195
PNW88974,0.239483
PNW88105,20.6415005
PNW88779,0.8196325
PNW88279,1.4286585
PNW88398,0.1932245
PNW88046,0.6430425
PNW88238,10.282463
PNW87923,2.4597435
PNW87806,0.6469055
PNW88100,4.010918
PNW88681,21.350177499999997
PNW87889,4.2009345
PNW88321,0.5947994999999999
PNW88842,0.103379
PNW88838,0.0
PNW88686,15.8969115
PNW88650,25.722746
PNW88282,6.6176615
PNW88283,0.29833
PNW88015,0.7879235
PNW88899,7.9103375
PNW88895,21.258175
PNW87759,30.706429999999997
PNW89078,3.1319165
PNW87970,7.4239725
PNW88861,4.993868
PNW88276,4.628651
PNW88843,0.0
PNW87996,3.3258615000000002
PNW88942,0.0
PNW88941,12.6764345
PNW88048,0.018062
PNW88791,2.4568965
PNW89020,0.1752765
PNW89064,3.0680515
PNW88051,43.4357
PNW88468,14.649967
PNW87909,0.3510385
